faa_id,model,make,base_price,weight_grams,options
DRN-3F9L2X,AeroX 2000,DroneTech,499.99,1500,"[""Extra Battery"",""Carrying Case""]"
DRN-7B1P5Q,Flyer Pro V2,AirDynamics,799.50,1700,"[""Propeller Guards""]"
DRN-8R4Z7K,Sky Scout Mini,SkyBound,299.00,900,"[""Carrying Case""]"
DRN-2G8T9V,Hawk Eye Ultra,VisionAir,1299.00,2000,"[""Extended Warranty"",""Extra Battery""]"
DRN-5L3D1N,CloudSurfer X,CloudWorks,899.99,1600,"[""GPS Upgrade""]"
DRN-9J2M5T,MicroJet 5G,SpeedFlight,649.95,1200,"[""Carrying Case""]"
DRN-0A7X8P,Eagle Vision 4K,OptiFly,1099.00,1800,"[""GPS Upgrade"",""Extended Warranty""]"
DRN-4V6R2S,Phantom Breeze,HoverPro,749.25,1400,"[""Extra Battery""]"
DRN-1K5C9Z,Thunderbolt 360,StormDrones,1399.99,2100,"[""Propeller Guards"",""GPS Upgrade""]"
DRN-6M8W3X,NeonSky Lite,LightAir,449.99,1000,"[""Carrying Case"",""Extended Warranty""]"
DRN-5T2P8Y,Phantom Breeze,HoverPro,749.25,1400,"[""Carrying Case""]"
DRN-8D9F3L,Flyer Pro V2,AirDynamics,799.50,1700,"[""GPS Upgrade""]"
DRN-7W4R6B,AeroX 2000,DroneTech,499.99,1500,"[""Propeller Guards"",""Extra Battery""]"
DRN-2N5V8X,Thunderbolt 360,StormDrones,1399.99,2100,"[""Extended Warranty""]"
DRN-9L3P2T,Sky Scout Mini,SkyBound,299.00,900,"[""Extra Battery""]"
